,product_id,discounted_price,actual_price
1255,B08RWCZ6SY,399.0,
1263,B07KSB1MLX,1089.0,
1271,B081FG1QYX,,999.0
1279,B08R69WBN7,,499.0
1287,B0B3RHX6B6,149.0,
1295,B084N18QZY,599.0,
1303,B081NHWT6Z,,1199.0
1311,B07JPJJZ2H,,1299.0
1319,B09JKNF147,339.0,
1327,B0B9959XF3,,22990.0
1335,B09PNR6F8Q,249.0,
1343,B07M69276N,,2499.0
1351,B0B1YZ9CB8,,47990.0
1359,B09YLYB9PB,,399.0
1367,B08CTNJ985,,999.0
1375,B0BP7XLX48,399.0,
1380,B09LHXNZLR,199.0,
1388,B0B3N8VG24,88.0,
1396,B08PSVBB2X,399.0,
1404,B0B3MQXNFB,57.89,
1412,B08XMSKKMM,799.0,
1420,B09L8DT7D6,205.0,
1428,B00GE55L22,,699.0
1436,B0162K34H2,849.0,
1444,B0B8SRZ5SV,949.0,
1452,B07CWNJLPC,499.0,
1460,B00NH12R1O,,485.0
1468,B0B8SSC5D9,,1999.0
1476,B08WKG2MWT,,1099.0
1484,B0B466C3G4,,18990.0
1492,B005LJQMZC,486.0,
1500,B07MDRGHWQ,5699.0,
1508,B07DC4RZPY,,1999.0
1516,B0B15GSPQW,,70900.0
1524,B08GJNM9N7,,1199.0
1532,B09C6FML9B,320.0,
1540,B0B65MJ45G,139.0,
1548,B08P9RYPLR,,249.0
1556,B0B6F8HHR6,,35999.0
1564,B084MZXJN6,,1699.0
1572,B08XMG618K,225.0,
1580,B0BCKWZ884,,2999.0
1588,B00GGGOYEK,259.0,
1596,B07ZR4S1G4,,699.0
1602,B09C635BMM,,999.0
1610,B00GG59HU2,467.0,
1618,B00RGLI0ZS,,599.0
1626,B09ZPJT8B2,,31990.0
1634,B07HZ2QCGR,,599.0
1642,B095244Q22,252.0,
1650,B08CKW1KH9,204.0,
1658,B0BLV1GNLN,,9990.0
1666,B08RHPDNVV,,599.0
1674,B00NH13Q8W,299.0,
1682,B0B8SSZ76F,799.0,
1690,B0841KQR1Z,,999.0
1698,B0B467CCB9,,16990.0
1706,B095JQVC7N,42999.0,
1714,B08PPHFXG3,,999.0
1722,B06XR9PR5X,,600.0
1730,B09JSW16QD,848.99,
1738,B07JH1CBGW,,1999.0
1746,B09127FZCK,299.0,
1754,B083GQGT3Z,399.0,
1762,B09Q8WQ5QJ,249.0,
1770,B07YZG8PPY,1249.0,
1778,B09H39KTTB,,499.0
1786,B08DCVRW98,,499.0
1794,B0718ZN31Q,598.0,
1802,B0162LYSFS,799.0,
1810,B07PFJ5VQD,159.0,
1818,B01J8S6X2I,,1100.0
1826,B09MJ77786,31999.0,
1834,B09NNGHG22,,56790.0
1842,B07V5YF4ND,299.0,
1850,B0B65P827P,,549.0
1858,B084MZYBTV,,849.0
1866,B097ZQTDVZ,,899.0
1874,B0B5F3YZY4,,1099.0
1882,B09G5TSGXV,,799.0
1890,B006LW0WDQ,399.0,
1898,B09YLX91QR,179.0,
1906,B081FJWN52,339.0,
1914,B0758F7KK7,399.0,
1922,B09L835C3V,199.0,
1930,B098TV3L96,,1999.0
1938,B08NCKT9FG,299.0,
1946,B0B4T6MR8N,,800.0
1954,B01GGKZ4NU,549.0,
1962,B09BW2GP18,129.0,
1970,B09WN3SRC7,,139900.0
1978,B09B125CFJ,,799.0
1986,B09RQRZW2X,,899.0
1994,B07924P3C5,,799.0
2002,B08N1WL9XW,182.0,
2010,B07VVXJ2P5,96.0,
2018,B0BC8BQ432,54990.0,
2022,B06XFTHCNY,439.0,
2030,B08CT62BM1,,999.0
2038,B07CRL2GY6,,799.0
2046,B07DWFX9YS,,1999.0
2054,B01D5H90L4,,700.0
2062,B07F1P8KNV,325.0,
2070,B084N1BM9L,,1999.0
2078,B09F6D21BY,790.0,
2086,B09LQQYNZQ,4699.0,
2090,B0BC9BW512,,24990.0
2098,B0B61HYR92,199.0,
2106,B075ZTJ9XR,,650.0
2114,B0978V2CP6,,3100.0
2122,B09LRZYBH1,,3999.0
2130,B0B997FBZT,35999.0,
2138,B098LCVYPW,,999.0
2146,B09HV71RL1,,1499.0
2154,B08PZ6HZLT,,18999.0
2162,B075TJHWVC,,2299.0
2170,B09LV13JFB,,999.0
2175,B092BL5DCX,,69900.0
2183,B09VH568H7,119.0,
2191,B09HQSV46W,21999.0,
2199,B08TZD7FQN,,599.0
2207,B0B21XL94T,21990.0,
2215,B09PTT8DZF,417.44,
2223,B0B94JPY2N,199.0,
2224,B0B3XXSB1K,,79990.0
2232,B08RZ12GKR,215.0,
2240,B0B4T8RSJ1,99.0,
2248,B0B7B9V9QP,18999.0,
2256,B08XXVXP3J,,999.0
2264,B06XGWRKYT,,15999.0
2272,B07CWDX49D,,1600.0
2280,B09TY4MSH3,1289.0,
2288,B07RY2X9MP,609.0,
2296,B0B2C5MJN6,32990.0,
2304,B0BBMGLQDW,,1999.0
2312,B01LONQBDG,349.0,
2320,B08XXF5V6G,,50999.0
2328,B09HK9JH4F,199.0,
2336,B09MMD1FDN,349.0,
2344,B09HN7LD5L,1850.0,
2352,B0BNDD9TN6,13990.0,
2356,B0941392C8,129.0,
2364,B01M5967SY,379.0,
2372,B016MDK4F4,,499.0
2379,B08G43CCLC,218.0,
2387,B0B61GCHC1,,999.0
2395,B07RX14W1Q,499.0,
2403,B09PLD9TCD,,42999.0
2411,B0B8ZKWGKD,893.0,
2419,B09NNJ9WYM,,19990.0
2427,B08H5L8V1L,379.0,
2435,B0B8CXTTG3,16999.0,
2443,B09HCH3JZG,699.0,
2451,B097JVLW3L,,3500.0
2459,B09SB6SJB4,,599.0
2467,B08NW8GHCJ,389.0,
2475,B09YHLPQYT,246.0,
2483,B08G1RW2Q3,299.0,
2491,B08YXJJW8H,247.0,
2499,B09P8M18QM,1369.0,
2507,B08BG4M4N7,,499.0
2515,B07VJ9ZTXS,,599.0
2523,B084872DQY,,14999.0
2531,B00GGGOYEU,299.0,
2539,B08FD2VSD9,24990.0,
2547,B0BQRJ3C47,,999.0
2548,B095JPKPH3,61999.0,
2556,B087JWLZ2K,,50000.0
2558,B09DSXK8JX,10499.0,
2566,B08V9C4B1J,349.0,
2574,B08PKBMJKS,197.0,
2582,B0B8VQ7KDS,1299.0,
2590,B086JTMRYL,1519.0,
2598,B09RWQ7YR6,46999.0,
2606,B00OFM6PEO,,799.0
2614,B0BF57RN3K,,19999.0
2622,B0B3RRWSF6,1998.0,
2630,B0B5B6PQCT,,7990.0
2638,B08HV83HL3,2049.0,
2646,B0BBN4DZBD,,8999.0
2654,B0B3CPQ5PF,,28999.0
2662,B0B3CQBRB4,,28999.0
2670,B0BBN56J5H,,8999.0
2678,B0BBN3WF7V,,8999.0
2686,B0BDRVFDKP,,1000.0
2694,B0B5LVS732,1999.0,
2702,B09V2Q4QVQ,1299.0,
2710,B09V12K8NT,1499.0,
2718,B01DEWVZ2C,,999.0
2726,B0BMGB3CH9,,11999.0
2734,B08D77XZX5,599.0,
2742,B09XB8GFBQ,8999.0,
2750,B07WG8PDCW,349.0,
2758,B07GPXXNNG,,999.0
2766,B0BDYVC5TD,,1800.0
2774,B0BMGB2TPR,9499.0,
2782,B08MC57J31,1499.0,
2790,B08HVL8QN3,,2199.0
2798,B0746JGVDS,,999.0
2806,B08VFF6JQ8,,1699.0
2814,B09NVPSCQT,1599.0,
2822,B09YV4RG4D,,7999.0
2830,B09TWHTBKQ,,25999.0
2832,B08L5HMJVW,369.0,
2840,B0B4F2XCK3,12999.0,
2848,B0BF54972T,,19999.0
2856,B09YV4MW2T,2199.0,
2864,B09TWH8YHM,16999.0,
2866,B07WGMMQGP,,20999.0
2874,B0BF563HB4,1799.0,
2890,B09GFPVD9Y,8499.0,
2898,B09GFLXVH9,,8499.0
2906,B0BF4YBLPX,,19999.0
2914,B09XB7DPW1,,11999.0
2922,B07PFJ5W31,139.0,
2930,B0B3N7LR6K,3999.0,
2935,B09ZQK9X8G,2998.0,
2951,B07WJV6P1R,15499.0,
2967,B0BF54LXW6,1799.0,
2975,B09XB7SRQ5,8999.0,
2983,B09FFK1PQG,,1699.0
2991,B09RMQYHLH,,15999.0
2999,B08ZN4B121,,1599.0
3007,B0B3RSDSZ3,,9999.0
3015,B08VB34KJ1,,20990.0
3023,B09T39K9YL,19999.0,
3031,B08VF8V79P,,1699.0
3039,B08G28Z33M,399.0,
3047,B09PNKXSKF,1999.0,
3055,B0B5DDJNH4,1999.0,
3079,B07WDKLDRX,,34999.0
3081,B09MQSCJQ1,2299.0,
3089,B094YFFSMY,,1999.0
3097,B09MT84WV5,,3999.0
3105,B08VS3YLRK,,1499.0
3113,B0B4F3QNDM,13999.0,
3121,B07GQD4K6L,,999.0
3129,B07WDKLRM4,,19999.0
3137,B0BP18W8TM,,9999.0
3153,B07GXHC691,99.0,
3161,B08FN6WGDQ,,15990.0
3169,B0B3D39RKV,,33999.0
3177,B085HY1DGR,99.0,
3185,B08D75R3Z1,,1900.0
3193,B0B4F2TTTS,,14999.0
3201,B09WRMNJ9G,,38999.0
3208,B0B14MR9L1,16999.0,
3210,B09ZPL5VYM,199.0,
3218,B0993BB11X,,1599.0
3226,B09V2PZDX8,,1599.0
3234,B085W8CFLH,599.0,
3242,B09MT6XSFW,,1899.0
3250,B07RD611Z8,1799.0,
3266,B0B4F52B5X,,14999.0
3274,B096VF5YYF,2999.0,
3282,B0B5D39BCD,1999.0,
3306,B09XBJ1CTN,649.0,
3314,B0B4F5L738,13999.0,
3322,B08MTCKDYN,,299.0
3330,B09QS8V5N8,,17999.0
3345,B09T2WRLJJ,,26999.0
3353,B089WB69Y1,,649.0
3361,B0116MIKKC,99.0,
3369,B09P858DK8,,1999.0
3377,B07DJLFMPS,369.0,
3385,B07WHQWXL7,,20999.0
3393,B07WDK3ZS6,,18999.0
3401,B09T2S8X9C,22999.0,
3409,B07S9S86BF,,1490.0
3417,B07N8RQ6W7,,699.0
3425,B09FKDH6FS,7499.0,
3433,B08HVJCW95,1149.0,
3441,B09YDFDVNS,,1699.0
3449,B07WGPKTS4,13999.0,
3465,B09MZCQYHZ,999.0,
3473,B0B4F2ZWL3,12999.0,
3481,B08VB2CMR3,,20990.0
3489,B095RTJH1M,999.0,
3497,B097R25DP7,,4999.0
3505,B09YDFKJF8,,1699.0
3513,B07WDK3ZS2,,29990.0
3521,B08RZ5K9YH,,1999.0
3529,B08444S68L,,15990.0
3537,B07WHQBZLS,,21990.0
3553,B09JS562TP,,1630.0
3569,B09V17S2BG,,6990.0
3577,B0B5CGTBKV,1999.0,
3585,B0B23LW7NV,,2899.0
3593,B09KGV7WSV,2099.0,
3601,B0971DWFDT,337.0,
3609,B0BNV7JM5Y,,7990.0
3617,B0B53QFZPY,1299.0,
3633,B07WJWRNVK,16499.0,
3641,B01F25X6RQ,,499.0
3657,B0B244R4KB,,2899.0
3665,B0BMGG6NKT,10499.0,
3681,B092JHPL72,,999.0
3697,B09GFM8CGS,,7999.0
3705,B0B3MWYCHQ,,9999.0
3713,B09J2MM5C6,279.0,
3721,B07Q4QV1DL,269.0,
3729,B0B56YRBNT,8999.0,
3745,B01DF26V7A,599.0,
3753,B08K4PSZ3V,,999.0
3761,B0B4F1YC3J,13999.0,
3769,B08K4RDQ71,349.0,
3777,B085CZ3SR1,,599.0
3785,B09YV3K34W,,9999.0
3793,B09Z6WH2N1,95.0,
3801,B09NL4DJ2Z,139.0,
3809,B0BGSV43WY,,7999.0
3817,B0926V9CTV,,599.0
3825,B07WGPKMP5,15499.0,
3833,B0BBFJ9M3X,,15999.0
3841,B09PLFJ7ZW,,4999.0
3849,B0B53NXFFR,,5999.0
3857,B07GNC2592,,999.0
3865,B09TP5KBN7,,1099.0
3873,B0949SBKMP,1799.0,
3881,B09V175NP7,1499.0,
3889,B07WHSJXLF,20999.0,
3897,B0BD3T6Z1D,,13499.0
3905,B09LHYZ3GJ,16999.0,
3913,B07WFPMGQQ,,27990.0
3921,B09QS9X9L8,,18999.0
3928,B0B6BLTGTT,2999.0,
3952,B084DTMYWK,,999.0
3960,B0B53QLB9H,1299.0,
3968,B0BDYW3RN3,1989.0,
3976,B0B3RS9DNF,1999.0,
3984,B09QS9X16F,,18999.0
3991,B08HV25BBQ,,4999.0
3999,B09LJ116B5,,20999.0
4007,B0BMVWKZ8G,,8499.0
4015,B0BD92GDQH,4999.0,
4031,B0B5GF6DQD,2499.0,
4039,B09JS94MBV,,1630.0
4047,B09YV463SW,,9999.0
4063,B09NL4DCXK,249.0,
4071,B0B8CHJLWJ,299.0,
4079,B0B8ZWNR5T,,499.0
4087,B0BBFJLP21,,15999.0
4095,B01F262EUU,949.0,
4103,B09VZBGL1N,99.0,
4111,B0BNVBJW2S,2499.0,
4119,B0B2DJ5RVQ,,1999.0
4127,B096TWZRJC,499.0,
4135,B09GP6FBZT,299.0,
4143,B0B3DV7S9B,209.0,
4151,B09MKP344P,8499.0,
